taxon	mean_sterile	mean_muck	U	p_value	q_value	log2FC_muck_over_sterile	short
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Epulopiscium	0.027799048825987327	0.011702859675521579	13	0.09208238851095994	0.3974082030473008	-1.247059169295387	Epulopiscium
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella	0.020480262183654487	0.021897253559613465	13.5	0.09954648526077098	0.4183673469387755	0.09644451159326424	Salmonella
d__Bacteria;p__Patescibacteria;c__CPR2;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis	0	0.000018427481985291436	29	0.10714285714285714	0.4183673469387755	1.1232082754033308	CPR2 (Incertae Sedis)
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae;__	0	0.0000375366474359203	29	0.10714285714285714	0.4183673469387755	1.7656220891422152	Intrasporangiaceae (family)
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Aquaspirillaceae;g__Laribacter	0	0.00007779597578734774	29	0.10714285714285714	0.4183673469387755	2.5788199314880758	Laribacter
d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium	0	0.00004175870101116289	29	0.10714285714285714	0.4183673469387755	1.875849491099401	Methanobacterium
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__OPB41;f__Incertae_Sedis;g__Incertae_Sedis	0	0.00003859216082973095	29	0.10714285714285714	0.4183673469387755	1.7939784851099358	OPB41 (Incertae Sedis)
d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus	0	0.000048377642780354646	29	0.10714285714285714	0.4183673469387755	2.033303744028194	Staphylococcus
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Subgroup_17;f__Incertae_Sedis;g__Incertae_Sedis	0	0.000011126856750762237	29	0.10714285714285714	0.4183673469387755	0.7752483120076085	Subgroup 17 (Incertae Sedis)
d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Clostridioides	0.0007162756371051305	0.0003349839028573217	15.5	0.11243386243386243	0.4338624338624338	-1.0617553141286447	Clostridioides
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;__	0.01041308416742372	0.006826998832763653	14	0.1190239984882842	0.45395199423438626	-0.6079380430987373	Lachnospiraceae (family)
d__Bacteria;p__Actinomycetota;c__MB-A2-108;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis	0	0.000013431379067855664	28.5	0.125	0.4659090909090909	0.8944046689601679	MB-A2-108 (Incertae Sedis)
d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Incertae_Sedis;g__UBA12409	0	0.00000832185880966355	28.5	0.125	0.4659090909090909	0.6155336460004452	UBA12409
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Beijerinckiaceae;g__Camelimonas	0.0010400924860832635	0	20	0.13333333333333333	0.48592592592592593	-6.076957376819353	Camelimonas
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Pseudochrobactrum	0.0004885705882360855	0	20	0.13333333333333333	0.48592592592592593	-5.010809780789632	Pseudochrobactrum
d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus	0.00011764853949728811	0	17	0.14285714285714285	0.5149136577708006	-3.091327572666958	Paenibacillus
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Agrobacterium	0.0000792886280838466	0	18.5	0.16666666666666666	0.5206349206349206	-2.6016852851788457	Agrobacterium
d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;__	0	0.00008580366401932632	28.5	0.16666666666666666	0.5206349206349206	2.697449952512118	Bacillaceae (family)
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Incertae_Sedis	0	0.000014178408932551479	28.5	0.16666666666666666	0.5206349206349206	0.9310097701416323	Blastocatellaceae (Incertae Sedis)
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Bremerella	0	0.000021844962330195806	31.5	0.16666666666666666	0.5206349206349206	1.2611290469819336	Bremerella
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__DEV007;g__Incertae_Sedis	0	0.00005897190234959114	31.5	0.16666666666666666	0.5206349206349206	2.2542434097935584	DEV007 (Incertae Sedis)
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomataceae;g__Dyadobacter	0.00006055382964731667	0	16.5	0.16666666666666666	0.5206349206349206	-2.2845122170935506	Dyadobacter
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Dysgonomonas	0	0.0005034795639524853	31.5	0.16666666666666666	0.5206349206349206	5.052850313576327	Dysgonomonas
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae;g__Gemmata	0	0.0000309990902233793	31.5	0.16666666666666666	0.5206349206349206	1.5763648362368912	Gemmata
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;__;__	0	0.00010006597814615893	31.5	0.16666666666666666	0.5206349206349206	2.887236476795176	Hyphomicrobiales (order)
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Lysobacterales;f__Lysobacteraceae;__	0	0.000013063045965574146	28.5	0.16666666666666666	0.5206349206349206	0.8760083196017888	Lysobacteraceae (family)
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;__	0.00002677752702079975	0	16.5	0.16666666666666666	0.5206349206349206	-1.43948240359224	Oxalobacteraceae (family)
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Roseococcus	0	0.00006100568010789722	31.5	0.16666666666666666	0.5206349206349206	2.293042648263144	Roseococcus
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Incertae_Sedis	0	0.000048675612961873605	31.5	0.16666666666666666	0.5206349206349206	2.0400033021801516	Verrucomicrobiaceae (Incertae Sedis)
