#OTU ID	Blank1	Blank2	Blank3	Blank4	SS004	SS007	SS011	SS016	SS019	SS023	SS028	SS031	SS035	SS040	SS043	SS047	SS051	SS052	SS054	SS055	SS059	SS063	SS064	SS066	SS070	SS071	SS075	SS076	SS078	SS082	SS083	SS087	SS088	SS090	SS094	SS095
48a2b88954f50c7725818c063187b794	0	0	0	0	101	0	0	157	433	0	0	0	0	0	70	520	0	0	0	0	253	134	0	176	0	1127	189	0	0	0	167	0	0	0	0	0
22424eb53c259749d0d5cf4f45d18613	0	0	0	0	41	369	0	38	70	0	67	717	0	27	22	54	0	54	26	115	90	23	114	92	51	17	201	18	539	58	0	57	0	260	9	52
4122c8e6818a89e7a33507f8521f4ba4	0	0	0	0	0	1194	0	0	0	0	0	0	0	0	0	0	0	0	149	159	0	0	0	0	0	0	0	0	1616	0	0	0	0	56	0	0
1fa11c8a6b6a7407002e320c0422915b	0	0	0	0	0	391	0	0	0	0	0	175	0	0	21	0	0	90	0	66	0	0	49	293	15	0	0	18	1551	0	0	0	0	167	0	0
7d9c34c539e068d21f1a81c06286eb3a	0	0	0	0	0	1136	0	0	0	0	0	0	0	0	0	0	0	0	560	17	0	0	0	3	0	0	0	0	114	0	0	0	0	855	0	0
67e8859e108281ee7971084bfa759522	0	0	0	0	178	0	201	138	0	0	32	29	0	0	8	631	0	0	0	0	542	186	0	0	0	416	33	0	0	0	99	8	0	0	0	51
11f0558dca37009cbf1a6083b0b658e5	0	0	0	0	0	0	246	0	43	0	0	1610	0	0	144	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	122
ebb25edc17e761bf86879badf663d3b3	0	0	0	0	846	0	0	71	0	0	52	0	0	22	0	138	0	0	0	0	133	42	0	0	337	147	173	0	0	204	22	0	0	0	0	0
9845bd0223e4f28dfdcb21b6bf541161	0	0	0	0	137	0	0	329	0	0	164	203	0	56	33	0	0	55	0	0	0	188	144	120	2	0	197	40	0	0	0	241	0	34	0	0
b2266dbc82660671b8545f2c4de1c1f8	0	0	0	0	1660	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6f89300ed0e033eb8e8d001cb87a76c2	0	0	0	0	0	40	0	0	6	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	1635	0	0	0	0	0	0	0
e45fbecd1ae04717d441f6657e5622ea	0	0	0	0	0	0	0	0	0	0	36	1222	0	0	21	0	0	0	0	112	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	269
737c098d1007948d40e6cbaf904b72d9	0	0	0	0	0	0	18	22	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	15	0	0	0	0	785	0	152	0	482
7ea4b157e51f38c83a0693ce6ea70f53	0	0	0	0	0	0	0	24	0	0	0	33	0	0	306	64	0	0	0	25	198	20	0	92	0	463	0	0	0	0	238	7	0	0	0	0
107273e73071282e4d0f4a0b46548da5	0	0	0	0	0	0	46	0	251	0	197	0	0	294	0	0	0	86	0	17	0	0	150	0	0	12	0	184	0	0	0	0	0	37	0	165
ccb3970cc553627e918e9217ea71b1f1	0	0	0	0	188	0	65	80	0	0	158	62	0	236	0	0	0	52	0	0	0	0	22	0	8	0	317	21	0	0	0	68	0	0	0	142
8d703908c09c7cb0da2a4398dd74f9f8	0	0	0	0	0	0	0	0	0	0	0	918	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0	58	0	0	0	0
ca228736334356da84bc09143c3fff05	0	0	0	0	0	0	322	74	179	0	0	634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111
06decfb887fd21a8c9eca1111a08def2	0	0	0	0	24	0	90	18	0	0	16	0	0	0	25	221	0	3	0	0	267	117	0	24	0	235	93	0	0	0	0	20	0	0	0	150
4f4ba6326db4b431b068600033eb7843	0	0	0	0	350	32	0	0	0	0	31	681	0	45	7	0	15	0	0	0	0	0	43	0	0	0	57	0	0	0	0	0	0	0	0	0
3cbda74e03e625564b0705316ffbc1cc	0	0	0	0	77	0	331	0	0	539	0	0	15	0	0	48	0	0	0	0	86	0	0	0	0	16	0	0	0	0	0	0	0	0	0	134
